ID,Age,Gender,Week_med,Time_session,Absorption_SUM,EQ_SUM,Mscale_SUM
1,48,0,2,2,67,25,65
2,40,1,4,3,68,26,122
3,40,0,3,3,85,37,110
4,45,0,5,5,90,38,138
5,28,1,5,4,127,31,149
6,58,1,5,6,75,33,103
7,48,0,5,6,74,9,98
8,51,1,5,5,114,28,124
9,44,1,5,6,109,39,156
10,30,0,5,4,99,34,155
11,59,1,4,5,80,40,111
12,79,1,5,3,108,24,89
13,45,1,5,4,87,26,148
14,30,1,5,6,84,32,139
15,36,0,5,6,45,17,73
16,34,1,3,2,77,27,134
17,38,1,5,5,88,28,154
18,34,1,5,6,89,20,102
19,53,0,5,5,89,24,128
20,57,1,5,3,71,36,136
21,39,0,4,5,94,42,132
22,40,0,3,4,148,33,147
23,29,1,5,6,93,4,145
24,61,1,5,2,70,21,148
25,58,1,5,6,132,38,160
26,51,1,5,3,82,25,107
27,54,0,2,2,72,25,97
28,24,1,5,5,108,21,131
29,32,0,5,6,67,14,95
30,55,1,4,6,102,34,151
31,30,0,5,6,43,27,100
32,44,1,5,5,138,26,118
33,41,0,5,4,131,26,128
34,33,0,1,1,80,29,104
35,39,1,5,3,135,32,134
36,42,0,5,4,91,17,114
37,25,0,5,3,104,21,139
38,50,1,2,3,110,28,134
39,57,1,5,6,118,21,151
40,35,0,4,6,56,8,50
41,31,0,4,6,73,11,83
42,32,0,3,4,82,38,53
43,41,0,4,3,77,18,103
44,43,0,5,3,79,11,135
45,63,1,5,4,110,36,150
46,55,0,5,3,95,34,101
47,28,1,5,5,92,26,144
48,43,1,4,3,109,24,157
49,61,1,5,6,77,18,155
50,47,1,5,5,114,36,145
51,41,1,5,3,63,25,118
52,39,1,5,5,109,17,147
53,41,1,5,6,112,31,158
54,43,1,4,3,88,32,120
55,45,0,5,5,65,9,82
56,28,1,5,4,102,23,149
57,53,1,5,5,108,24,156
58,55,1,5,6,113,38,156
59,33,0,3,5,85,19,100
60,41,0,5,5,114,32,144
61,56,1,5,6,90,28,142
62,47,1,5,6,113,34,138
63,49,0,5,4,64,26,90
64,41,0,5,3,92,28,115
65,47,1,5,3,101,25,141
66,57,1,5,6,81,19,89
67,41,1,5,3,82,28,94
68,55,0,5,2,61,33,150
69,57,1,5,6,96,30,79
70,33,0,5,3,65,20,121
71,47,0,5,4,52,13,73
72,38,0,4,5,119,15,151
73,42,0,5,6,71,30,82
74,42,1,5,6,114,30,123
75,39,1,5,6,110,23,107
76,34,0,5,5,77,22,111
77,53,1,5,3,131,24,148
78,32,0,5,4,91,13,108
79,45,1,5,6,107,31,160
80,33,0,5,3,63,20,75
81,44,1,5,5,84,19,123
82,32,0,5,6,87,35,136
83,27,1,5,3,116,29,139
84,51,1,5,3,102,38,106
85,42,1,5,5,78,13,103
86,45,0,5,3,117,32,120
87,36,1,4,6,66,21,80
88,57,1,5,5,62,21,133
89,40,1,5,3,97,7,146
90,41,1,4,3,122,35,110
91,46,0,5,6,110,40,148
92,31,1,1,1,123,37,112
93,39,0,5,3,121,33,141
94,34,0,5,5,90,25,132
95,35,0,5,6,118,27,126
96,26,0,4,3,86,19,54
97,48,1,4,4,110,22,120
98,36,1,4,4,68,16,111
99,26,0,5,6,104,25,154
100,43,1,5,6,108,28,115
101,34,1,5,6,144,37,145
102,41,1,5,6,98,30,122
103,29,0,4,5,67,17,89
104,31,1,5,6,105,29,132
105,29,0,5,3,113,26,96
106,34,0,5,4,50,25,54
107,22,0,5,4,90,16,107
108,36,1,5,5,121,36,131
109,40,0,4,4,92,34,157
110,51,1,5,4,68,36,98
111,45,1,5,5,68,20,112
112,59,1,3,6,105,38,143
113,44,1,4,5,68,30,77
114,62,1,5,6,95,40,132
115,33,0,5,6,87,16,156
116,39,1,1,3,67,37,131
117,39,0,3,3,106,31,152
118,38,1,5,6,139,35,146
119,48,1,5,6,80,31,123
120,59,1,5,6,131,23,146
121,36,1,2,2,123,27,156
122,47,1,5,4,101,34,132
123,40,0,3,6,111,17,116
124,50,0,5,4,124,35,137
125,22,1,5,4,102,27,150
126,29,0,3,5,70,31,79
127,31,0,5,3,61,37,103
128,39,0,4,3,78,29,150
129,50,1,5,4,75,26,101
130,36,1,5,4,80,22,118
131,53,1,5,6,125,36,146
132,25,0,4,6,71,16,139
133,39,0,5,6,69,6,90
134,39,0,4,5,102,29,151
135,59,0,5,3,104,25,114
136,29,0,5,6,106,12,129
137,42,0,4,4,81,18,121
138,28,0,5,4,100,28,154
139,47,1,5,4,154,42,156
140,68,1,5,5,119,26,150
141,27,1,5,4,80,31,147
142,38,1,2,2,86,20,117
143,33,0,5,4,63,20,78
144,44,0,5,5,56,12,123
145,38,1,5,5,63,18,137
146,50,0,4,3,62,14,103
147,24,0,5,5,92,21,105
148,35,1,5,6,94,13,159
149,57,1,2,2,76,33,90
150,24,1,5,6,105,36,150
151,42,1,3,4,73,7,56
152,41,0,3,5,89,18,120
153,24,0,2,3,68,22,121
154,37,1,5,4,68,13,90
155,54,1,5,6,95,17,144
156,38,1,5,3,55,29,79
157,38,0,4,5,65,13,72
158,28,0,4,3,88,17,93
159,48,0,3,2,70,34,86
160,38,1,5,4,66,14,111
161,43,1,5,6,89,6,81
162,64,1,5,4,88,11,84
163,44,0,5,6,56,10,85
164,47,0,4,4,50,14,59
165,39,0,4,4,92,19,138
166,56,1,5,6,117,29,156
167,41,1,4,5,140,32,130
168,50,1,5,6,114,30,137
169,49,1,5,3,107,30,136
170,40,0,5,6,67,8,124
171,36,1,3,3,70,20,123
172,47,1,5,6,94,29,120
173,56,1,5,3,77,22,83
174,30,0,5,6,138,29,160
175,37,0,5,6,45,27,145
176,33,1,5,2,88,26,121
177,42,1,5,4,75,26,90
178,64,1,3,4,74,36,88
179,37,0,2,2,88,24,118
180,38,1,5,6,106,32,111
181,37,0,5,4,66,14,57
182,55,1,4,4,122,31,153
183,40,0,5,6,118,30,156
184,49,1,5,4,88,30,114
185,54,1,5,3,137,31,147
186,38,0,2,2,86,16,85
187,41,1,5,3,96,25,97
188,32,1,4,5,87,32,127
189,32,0,5,6,71,12,104
190,40,1,5,6,117,43,157
191,46,0,5,5,100,21,109
192,63,1,5,5,75,29,134
193,42,1,5,6,84,10,105
194,51,0,5,3,104,10,133
195,53,1,5,5,82,19,121
196,31,0,5,4,104,25,145
197,47,0,1,1,98,35,42
198,63,0,5,6,77,17,118
199,35,0,4,6,85,25,112
200,30,1,3,2,106,4,106
201,41,0,5,4,111,22,127
202,60,0,3,2,90,18,61
203,58,0,5,3,102,20,149
204,62,0,3,3,85,29,124
205,46,1,5,4,129,42,144
206,39,1,3,3,101,12,89
207,63,1,5,4,93,21,108
208,30,0,5,4,131,32,153
209,43,0,5,5,95,16,45
210,30,0,5,4,76,26,127
211,33,0,5,4,75,30,79
212,51,1,4,5,143,31,102
213,44,0,3,3,96,19,100
214,48,1,5,3,138,38,152
215,39,1,5,5,79,18,108
216,48,1,3,6,141,42,129
217,40,1,2,3,84,21,98
218,42,0,3,3,47,15,40
219,46,0,5,6,79,14,76
220,43,0,4,5,77,26,121
221,60,1,5,6,115,28,113
222,67,0,5,4,80,20,127
223,39,1,3,3,67,26,112
224,24,0,5,5,102,32,137
225,54,1,5,6,132,21,152
226,39,1,5,4,97,16,118
227,36,1,5,3,114,33,93
228,52,1,5,5,122,36,142
229,27,0,5,6,87,13,113
230,36,0,5,6,109,28,122
231,37,1,5,6,144,32,149
232,31,0,4,3,49,30,55
233,44,1,5,3,105,27,96
234,49,0,5,3,55,33,96
235,44,0,4,4,98,21,104
236,66,1,5,3,98,27,153
237,41,1,3,6,98,18,153
238,70,0,5,4,82,31,98
239,44,0,5,4,71,15,59
240,45,1,2,3,108,12,74
241,40,1,2,3,77,17,97
242,54,1,2,2,105,23,131
243,25,0,5,6,123,25,138
244,35,0,3,2,103,22,129
245,34,0,2,3,101,21,128
246,59,1,5,6,110,25,154
247,60,0,5,4,123,28,128
248,32,0,5,3,68,21,127
249,43,1,4,4,63,21,102
250,47,1,4,5,92,32,152
251,53,0,5,6,74,23,118
252,38,1,5,4,99,19,91
253,60,1,5,3,92,35,149
254,70,1,4,3,106,33,158
255,52,0,4,3,116,31,143
256,68,1,4,5,107,28,130
257,45,0,5,6,102,23,129
258,70,1,5,4,86,18,95
259,48,1,5,4,106,23,144
260,40,1,5,4,132,18,158
261,40,1,5,6,82,35,143
262,47,1,5,6,78,39,142
263,33,0,4,5,117,22,139
264,35,0,4,4,66,25,119
265,60,0,5,6,55,26,117
266,41,0,5,5,103,19,116
267,44,0,5,5,93,10,106
268,35,0,5,6,52,21,103
269,37,1,2,3,54,9,108